entry_validity,rr,sweep_lookback,swing_lookback,sharpe,cagr,pf,winrate,total_return,max_dd,n_trades,asset,tf
10,2.0,10,15,-0.7745129111938863,-0.11284270979981237,0.8539471921398507,0.3097165991902834,-0.21212374723068728,-0.2867554084582174,494,Gold,1h / 1h  (≈2 yr)
10,2.0,10,20,-0.44964172586196693,-0.06913871031455987,0.9048208813654802,0.32,-0.13305806565533462,-0.2330998721892795,425,Gold,1h / 1h  (≈2 yr)
10,2.0,15,5,-1.2198528267686959,-0.18436715238450185,0.8204937442487109,0.31723237597911225,-0.33378348582819906,-0.44911144751644755,766,Gold,1h / 1h  (≈2 yr)
10,2.0,15,10,-0.9025202443287915,-0.13520444799085807,0.8452359760386339,0.31239669421487604,-0.2513598897855872,-0.3935394583862157,605,Gold,1h / 1h  (≈2 yr)
10,2.0,15,15,-0.7745129111938863,-0.11284270979981237,0.8539471921398507,0.3097165991902834,-0.21212374723068728,-0.2867554084582174,494,Gold,1h / 1h  (≈2 yr)
10,2.0,15,20,-0.44964172586196693,-0.06913871031455987,0.9048208813654802,0.32,-0.13305806565533462,-0.2330998721892795,425,Gold,1h / 1h  (≈2 yr)
10,3.0,5,5,-0.5062688097105952,-0.11253309317276483,0.8969584415994674,0.25263157894736843,-0.21173717902803957,-0.36146645625377705,665,Gold,1h / 1h  (≈2 yr)
10,3.0,5,10,-0.39086952152830123,-0.08670079465784042,0.9087012343538893,0.24390243902439024,-0.16534935254354355,-0.3188619954111088,533,Gold,1h / 1h  (≈2 yr)
10,3.0,5,15,-0.20680258130751653,-0.05289032433596763,0.9439317804246882,0.248868778280543,-0.10255499377597443,-0.18470075913255934,442,Gold,1h / 1h  (≈2 yr)
10,3.0,5,20,-0.06337565385778715,-0.026499638554394855,0.9771028974457235,0.2617801047120419,-0.0521170089427625,-0.1653029335008341,382,Gold,1h / 1h  (≈2 yr)
10,3.0,10,5,-0.5062688097105952,-0.11253309317276483,0.8969584415994674,0.25263157894736843,-0.21173717902803957,-0.36146645625377705,665,Gold,1h / 1h  (≈2 yr)
10,3.0,10,10,-0.39086952152830123,-0.08670079465784042,0.9087012343538893,0.24390243902439024,-0.16534935254354355,-0.3188619954111088,533,Gold,1h / 1h  (≈2 yr)
10,3.0,10,15,-0.20680258130751653,-0.05289032433596763,0.9439317804246882,0.248868778280543,-0.10255499377597443,-0.18470075913255934,442,Gold,1h / 1h  (≈2 yr)
10,3.0,10,20,-0.06337565385778715,-0.026499638554394855,0.9771028974457235,0.2617801047120419,-0.0521170089427625,-0.1653029335008341,382,Gold,1h / 1h  (≈2 yr)
10,3.0,15,5,-0.5062688097105952,-0.11253309317276483,0.8969584415994674,0.25263157894736843,-0.21173717902803957,-0.36146645625377705,665,Gold,1h / 1h  (≈2 yr)
10,3.0,15,10,-0.39086952152830123,-0.08670079465784042,0.9087012343538893,0.24390243902439024,-0.16534935254354355,-0.3188619954111088,533,Gold,1h / 1h  (≈2 yr)
10,3.0,15,15,-0.20680258130751653,-0.05289032433596763,0.9439317804246882,0.248868778280543,-0.10255499377597443,-0.18470075913255934,442,Gold,1h / 1h  (≈2 yr)
10,3.0,15,20,-0.06337565385778715,-0.026499638554394855,0.9771028974457235,0.2617801047120419,-0.0521170089427625,-0.1653029335008341,382,Gold,1h / 1h  (≈2 yr)
10,4.0,5,5,-0.5395554350353311,-0.10550855747236199,0.8992848560260394,0.2056239015817223,-0.19925382797478708,-0.3450459859777698,569,Gold,1h / 1h  (≈2 yr)
10,4.0,5,10,-0.3386303837399954,-0.06539293123644085,0.9319615165432542,0.20127118644067796,-0.12609171416144405,-0.29158140790061104,472,Gold,1h / 1h  (≈2 yr)
10,4.0,5,15,-0.4813741432786516,-0.08530601450024777,0.8910596091560865,0.18877551020408162,-0.16267935828531477,-0.22559197129370828,392,Gold,1h / 1h  (≈2 yr)
10,4.0,5,20,-0.42810093245039244,-0.0736087650950954,0.8956504161637775,0.19161676646706588,-0.1413350607288637,-0.2300816658406532,334,Gold,1h / 1h  (≈2 yr)
10,4.0,10,5,-0.5395554350353311,-0.10550855747236199,0.8992848560260394,0.2056239015817223,-0.19925382797478708,-0.3450459859777698,569,Gold,1h / 1h  (≈2 yr)
