rr,sl_buffer_atr,swing_lookback,use_body_filter,use_breakeven,use_trend_filter,n,wr,pf,sharpe,total_ret,max_dd,avg_win,avg_loss,avg_pnl,expectancy
0.5,0.5,15,True,False,False,388,0.5515463917525774,0.6873453923640302,-1.8961018975862376,-0.24174359139736368,-0.29159700833848107,0.0027924158354930067,-0.004996542565749961,-0.0007005706640334791,-0.0007005706640334783
0.5,0.5,15,False,True,True,485,0.5835051546391753,0.9179825038458972,-0.4627333951403768,-0.09045943990980299,-0.15515925165020042,0.003454505238274187,-0.005272134943230275,-0.00018009541464107358,-0.00018009541464107312
0.5,0.5,15,False,True,False,525,0.580952380952381,0.899767261022239,-0.5952345731487529,-0.1160534908236528,-0.1616749769517318,0.003399085099506195,-0.005237318785645823,-0.00021997938570036501,-0.00021997938570036436
0.5,0.5,15,False,False,True,485,0.5835051546391753,0.9179825038458972,-0.4627333951403768,-0.09045943990980299,-0.15515925165020042,0.003454505238274187,-0.005272134943230275,-0.00018009541464107358,-0.00018009541464107312
0.5,0.5,15,False,False,False,525,0.580952380952381,0.899767261022239,-0.5952345731487529,-0.1160534908236528,-0.1616749769517318,0.003399085099506195,-0.005237318785645823,-0.00021997938570036501,-0.00021997938570036436
0.5,0.5,20,True,True,True,325,0.563076923076923,0.702829052450754,-1.5776548529094712,-0.20195959273138298,-0.22354090166317275,0.0028584129245391083,-0.005241287791794409,-0.0006805332345973823,-0.0006805332345973828
0.5,0.5,20,True,True,False,329,0.5562310030395137,0.6951593289020156,-1.6407045973836112,-0.21108988141954177,-0.24009836587087643,0.00289839160119887,-0.0052260184810738524,-0.0007069697119069586,-0.0007069697119069583
0.5,0.5,20,True,False,True,325,0.563076923076923,0.702829052450754,-1.5776548529094712,-0.20195959273138298,-0.22354090166317275,0.0028584129245391083,-0.005241287791794409,-0.0006805332345973823,-0.0006805332345973828
0.5,0.5,20,True,False,False,329,0.5562310030395137,0.6951593289020156,-1.6407045973836112,-0.21108988141954177,-0.24009836587087643,0.00289839160119887,-0.0052260184810738524,-0.0007069697119069586,-0.0007069697119069583
0.5,0.5,20,False,True,True,433,0.5912240184757506,0.9418534736205808,-0.3117053020554637,-0.06216374289174842,-0.11917575910586077,0.0036036620970938617,-0.005533850433643502,-0.00013153355634843277,-0.00013153355634843268
0.5,0.5,20,False,True,False,443,0.582392776523702,0.9215380980683734,-0.432722261764304,-0.08331058321780838,-0.12914150634837288,0.0036249611680854114,-0.005485775640989442,-0.00017974833457564486,-0.00017974833457564494
0.5,0.5,20,False,False,True,433,0.5912240184757506,0.9418534736205808,-0.3117053020554637,-0.06216374289174842,-0.11917575910586077,0.0036036620970938617,-0.005533850433643502,-0.00013153355634843277,-0.00013153355634843268
0.5,0.5,20,False,False,False,443,0.582392776523702,0.9215380980683734,-0.432722261764304,-0.08331058321780838,-0.12914150634837288,0.0036249611680854114,-0.005485775640989442,-0.00017974833457564486,-0.00017974833457564494
0.5,0.5,30,True,True,True,272,0.5808823529411765,0.7453032282675054,-1.1617994973436814,-0.14681791906661257,-0.17362931430483475,0.0028684824769558714,-0.005334226276993852,-0.0005694175155083514,-0.0005694175155083509
0.5,0.5,30,True,True,False,273,0.5787545787545788,0.7384288630955806,-1.203060974586469,-0.15164786140625497,-0.17830747486665968,0.0028684824769558714,-0.005337068588512609,-0.000588068338168214,-0.0005880683381682132
0.5,0.5,30,True,False,True,272,0.5808823529411765,0.7453032282675054,-1.1617994973436814,-0.14681791906661257,-0.17362931430483475,0.0028684824769558714,-0.005334226276993852,-0.0005694175155083514,-0.0005694175155083509
0.5,0.5,30,True,False,False,273,0.5787545787545788,0.7384288630955806,-1.203060974586469,-0.15164786140625497,-0.17830747486665968,0.0028684824769558714,-0.005337068588512609,-0.000588068338168214,-0.0005880683381682132
0.5,0.5,30,False,True,True,359,0.6128133704735376,1.0112626352228153,0.07316717165784188,0.0025846324190563763,-0.07003850284647724,0.003647201449720324,-0.005708259018033843,2.4892243542526686e-05,2.489224354252674e-05
0.5,0.5,30,False,True,False,360,0.6111111111111112,1.0040985934813105,0.040175814877885116,-0.0030910915247662762,-0.07418089804815145,0.003647201449720324,-0.00570792211148825,9.097842583656234e-06,9.097842583656937e-06
0.5,0.5,30,False,False,True,359,0.6128133704735376,1.0112626352228153,0.07316717165784188,0.0025846324190563763,-0.07003850284647724,0.003647201449720324,-0.005708259018033843,2.4892243542526686e-05,2.489224354252674e-05
0.5,0.5,30,False,False,False,360,0.6111111111111112,1.0040985934813105,0.040175814877885116,-0.0030910915247662762,-0.07418089804815145,0.003647201449720324,-0.00570792211148825,9.097842583656234e-06,9.097842583656937e-06
0.5,0.8,5,True,True,True,522,0.60727969348659,0.7500501273474861,-1.7191279233332843,-0.2589852373998639,-0.30447909930447087,0.002768037611522397,-0.005706727023866345,-0.0005601745537164765,-0.0005601745537164764
0.5,0.8,5,True,True,False,622,0.6093247588424437,0.715623078655376,-2.214941830322889,-0.3381807520620984,-0.38055862233843146,0.0026834514942704274,-0.005848471094734259,-0.0006497594207265801,-0.0006497594207265801
0.5,0.8,5,True,False,True,522,0.60727969348659,0.7500501273474861,-1.7191279233332843,-0.2589852373998639,-0.30447909930447087,0.002768037611522397,-0.005706727023866345,-0.0005601745537164765,-0.0005601745537164764
0.5,0.8,5,True,False,False,622,0.6093247588424437,0.715623078655376,-2.214941830322889,-0.3381807520620984,-0.38055862233843146,0.0026834514942704274,-0.005848471094734259,-0.0006497594207265801,-0.0006497594207265801
0.5,0.8,5,False,True,True,681,0.6270190895741556,1.0224709367768745,0.13773829074569183,0.022590066348794346,-0.13035680221223464,0.003682981773528459,-0.006055398874175288,5.0751693474491565e-05,5.075169347449173e-05
0.5,0.8,5,False,True,False,805,0.6236024844720497,0.9398112081989323,-0.4597020440360557,-0.11839025903567357,-0.1873027554045946,0.0034853055907555224,-0.0061441432329575295,-0.00013919502239361387,-0.00013919502239361382
